publisher_name,match_type,keyword_group,clicks,spend,bookings,revenue,roas,cvr,ctr,recommendation,rationale
Google - Global,Broad,Warsaw,2,2.59,0,0.0,0.0,0.0,0.0088,HOLD_LOW_DATA,Low volume
Google - Global,Broad,Zagreb,3,8.09,0,0.0,0.0,0.0,0.0423,HOLD_LOW_DATA,Low volume
Google - Global,,Air France,7,2.59,0,0.0,0.0,0.0,0.0011,HOLD_LOW_DATA,Low volume
Google - Global,,Air France Website,10,2.38,0,0.0,0.0,0.0,0.0116,HOLD_LOW_DATA,Low volume
Google - Global,,Bordeaux,1,0.28,0,0.0,0.0,0.0,0.0053,HOLD_LOW_DATA,Low volume
Google - Global,,Lyon,1,0.26,0,0.0,0.0,0.0,0.0122,HOLD_LOW_DATA,Low volume
Google - Global,,Nice,2,0.57,0,0.0,0.0,0.0,0.0004,HOLD_LOW_DATA,Low volume
Google - Global,,Paris,5,1.94,0,0.0,0.0,0.0,0.0019,HOLD_LOW_DATA,Low volume
Google - US,Broad,Airfrance Deal Boston,1,1.23,0,0.0,0.0,0.0,0.0714,HOLD_LOW_DATA,Low volume
Google - US,Broad,Airfrance Deal DC,2,2.17,0,0.0,0.0,0.0,0.5,HOLD_LOW_DATA,Low volume
Google - US,Broad,Airfrance Deal Detroit,3,1.69,0,0.0,0.0,0.0,0.75,HOLD_LOW_DATA,Low volume
Google - US,Broad,Airfrance Deal Los Angeles,1,0.49,0,0.0,0.0,0.0,1.0,HOLD_LOW_DATA,Low volume
Google - US,Broad,Airfrance Deal New York,3,3.47,0,0.0,0.0,0.0,0.1034,HOLD_LOW_DATA,Low volume
Google - US,Broad,Athens Branded,10,11.03,0,0.0,0.0,0.0,0.1299,HOLD_LOW_DATA,Low volume
Google - US,Broad,Bordeaux Branded,13,33.81,0,0.0,0.0,0.0,0.0663,HOLD_LOW_DATA,Low volume
Google - US,Broad,Boston to Athens Sale,4,8.09,0,0.0,0.0,0.0,0.0392,HOLD_LOW_DATA,Low volume
Google - US,Broad,Boston to Barcelona Sale,3,7.09,0,0.0,0.0,0.0,0.0938,HOLD_LOW_DATA,Low volume
Google - US,Broad,Boston to Florence Sale,1,1.27,0,0.0,0.0,0.0,0.5,HOLD_LOW_DATA,Low volume
Google - US,Broad,Boston to Greece Sale,1,1.25,0,0.0,0.0,0.0,0.25,HOLD_LOW_DATA,Low volume
Google - US,Broad,Boston to Italy Sale,11,19.5,0,0.0,0.0,0.0,0.055,HOLD_LOW_DATA,Low volume
Google - US,Broad,Boston to Madrid Sale,5,10.57,0,0.0,0.0,0.0,0.0943,HOLD_LOW_DATA,Low volume
Google - US,Broad,Boston to Milan Sale,2,6.05,0,0.0,0.0,0.0,0.125,HOLD_LOW_DATA,Low volume
Google - US,Broad,Boston to Naples Sale,1,1.06,0,0.0,0.0,0.0,0.1667,HOLD_LOW_DATA,Low volume
Google - US,Broad,Boston to Seville Sale,2,5.09,0,0.0,0.0,0.0,1.0,HOLD_LOW_DATA,Low volume
Google - US,Broad,Boston to Spain Sale,2,3.64,0,0.0,0.0,0.0,0.0357,HOLD_LOW_DATA,Low volume
Google - US,Broad,Boston to Venice Sale,3,7.33,0,0.0,0.0,0.0,0.6,HOLD_LOW_DATA,Low volume
Google - US,Broad,Cheap Europe Boston,12,26.82,0,0.0,0.0,0.0,0.2553,HOLD_LOW_DATA,Low volume
Google - US,Broad,Cheap Europe DC,9,21.66,0,0.0,0.0,0.0,0.125,HOLD_LOW_DATA,Low volume
Google - US,Broad,Cheap Europe Detroit,5,13.21,0,0.0,0.0,0.0,0.1389,HOLD_LOW_DATA,Low volume
Google - US,Broad,Cheap Europe Los Angeles,17,33.86,0,0.0,0.0,0.0,0.2464,HOLD_LOW_DATA,Low volume
Google - US,Broad,Cheap Europe New York,10,21.15,0,0.0,0.0,0.0,0.1754,HOLD_LOW_DATA,Low volume
